payment_type,country,count
Bank,Argentina,3069
Bank,Australia,8
Bank,Belgium,17
Bank,Brazil,2619
Bank,Canada,14
Bank,China,28
Bank,Colombia,3206
Bank,Egypt,23
Bank,France,16
Bank,Germany,23
Bank,Greece,13
Bank,India,25
Bank,Indonesia,20
Bank,Iran,21
Bank,Ireland,17
Bank,Israel,23
Bank,Italy,16
Bank,Japan,11
Bank,Mexico,24
Bank,Netherlands,25
Bank,Norway,15
Bank,Pakistan,16
Bank,Poland,38
Bank,Portugal,19
Bank,Russia,12
Bank,Scotland,10
Bank,South Africa,18
Bank,South Korea,16
Bank,Spain,19
Bank,Sweden,12
Bank,Turkey,15
Bank,Ukraine,21
Bank,United Kingdom,24
Bank,United States,12
Bank,Venezuela,3304
Card,Argentina,3070
Card,Australia,19
Card,Belgium,14
Card,Brazil,2624
Card,Canada,19
Card,China,17
Card,Colombia,3225
Card,Egypt,22
Card,France,29
Card,Germany,21
Card,Greece,19
Card,India,13
Card,Indonesia,22
Card,Iran,13
Card,Ireland,21
Card,Israel,18
Card,Italy,17
Card,Japan,13
Card,Mexico,17
Card,Netherlands,17
Card,Norway,14
Card,Pakistan,17
Card,Poland,21
Card,Portugal,29
Card,Russia,14
Card,Scotland,13
Card,South Africa,18
Card,South Korea,17
Card,Spain,20
Card,Sweden,11
Card,Turkey,25
Card,Ukraine,18
Card,United Kingdom,28
Card,United States,29
Card,Venezuela,3190
Paypal,Argentina,2979
Paypal,Australia,14
Paypal,Belgium,12
Paypal,Brazil,2693
Paypal,Canada,16
Paypal,China,15
Paypal,Colombia,3201
Paypal,Egypt,24
Paypal,France,18
Paypal,Germany,14
Paypal,Greece,18
Paypal,India,22
Paypal,Indonesia,14
Paypal,Iran,19
Paypal,Ireland,22
Paypal,Israel,13
Paypal,Italy,15
Paypal,Japan,10
Paypal,Mexico,16
Paypal,Netherlands,13
Paypal,Norway,14
Paypal,Pakistan,18
Paypal,Poland,28
Paypal,Portugal,21
Paypal,Russia,27
Paypal,Scotland,9
Paypal,South Africa,20
Paypal,South Korea,23
Paypal,Spain,18
Paypal,Sweden,12
Paypal,Turkey,12
Paypal,Ukraine,22
Paypal,United Kingdom,17
Paypal,United States,16
Paypal,Venezuela,3255
UPI,Argentina,3143
UPI,Australia,14
UPI,Belgium,20
UPI,Brazil,2748
UPI,Canada,21
UPI,China,19
UPI,Colombia,3169
UPI,Egypt,24
UPI,France,18
UPI,Germany,15
UPI,Greece,16
UPI,India,17
UPI,Indonesia,15
UPI,Iran,20
UPI,Ireland,16
UPI,Israel,17
UPI,Italy,18
UPI,Japan,13
UPI,Mexico,13
UPI,Netherlands,16
UPI,Norway,23
UPI,Pakistan,15
UPI,Poland,25
UPI,Portugal,23
UPI,Russia,19
UPI,Scotland,15
UPI,South Africa,18
UPI,South Korea,17
UPI,Spain,24
UPI,Sweden,13
UPI,Turkey,18
UPI,Ukraine,15
UPI,United Kingdom,31
UPI,United States,24
UPI,Venezuela,3189
